"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword","Searching in LinkedIn","SUCCESS","2022-02-13T09:53:55.616808351Z[Etc/UTC]","0.0","0.22"
"Search by keyword","Menambahkan postingan","SUCCESS","2022-02-13T09:53:55.852948469Z[Etc/UTC]","0.0","0.02"
"Search by keyword","Menambahkan Postingan dengan photo","SUCCESS","2022-02-13T09:53:55.891056523Z[Etc/UTC]","0.0","0.03"
"Search by keyword","Menambahkan Postingan dengan video","SUCCESS","2022-02-13T09:53:55.951919251Z[Etc/UTC]","0.0","0.05"
"Search by keyword","Menambahkan Postingan dengan dokumen","SUCCESS","2022-02-13T09:53:56.020204473Z[Etc/UTC]","0.0","0.06"
"Search by keyword","Menambahkan Postingan dengan polling","SUCCESS","2022-02-13T09:53:56.103922274Z[Etc/UTC]","0.0","0.04"
"Search by keyword","Menambahkan komentar pada postingan","SUCCESS","2022-02-13T09:53:56.158142497Z[Etc/UTC]","0.0","0.02"
"Search by keyword","Menambahkan komentar pada postingan dengan reaction","SUCCESS","2022-02-13T09:53:56.200174795Z[Etc/UTC]","0.0","0.03"
"Search by keyword","Menambahkan komentar pada postingan dengan gambar","SUCCESS","2022-02-13T09:53:56.248685901Z[Etc/UTC]","0.0","0.02"
"Search by keyword","Menyukai postingan pada feed","SUCCESS","2022-02-13T09:53:56.284155693Z[Etc/UTC]","0.0","0.01"
"Search by keyword","Membagikan postingan","SUCCESS","2022-02-13T09:53:56.311224705Z[Etc/UTC]","0.0","0.02"
"Search by keyword","Kirim postingan","SUCCESS","2022-02-13T09:53:56.346673497Z[Etc/UTC]","0.0","0.01"
"Search by keyword","Melihat pengunjung profil LinkedIn","SUCCESS","2022-02-13T09:53:56.370863151Z[Etc/UTC]","0.0","0.01"
"Search by keyword","Melihat pengunjung postingan","SUCCESS","2022-02-13T09:53:56.397256273Z[Etc/UTC]","0.0","0.01"
